Name,Place,Floor,Image URL,Website
Gokana Ramen & Teppan Express ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Gokana-Ramen-Teppanlogo1.jpg,https://www.malkelapagading.com/directory/gokana-ramen-and-teppan
Golden Lamian ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Golden-Lamianlogo-96.jpg,https://www.malkelapagading.com/directory/golden-lamian
GONG CHA ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/GONG-CHAlogo-77.jpg,https://www.malkelapagading.com/directory/gong-cha
GOOMA Tea Bar ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/GOOMAlogo.jpg,https://www.malkelapagading.com/directory/gooma-tea-bar
Gramedia Book Store ,MKG-1,Lantai 1,http://images.malkelapagading.com/tenant/Gramedia-Book-Storelogo-93.jpg,https://www.malkelapagading.com/directory/gramedia-book-store
GraPARI Telkomsel ,MKG-3,Lantai 2,http://images.malkelapagading.com/tenant/GraPARIlogo.jpg,https://www.malkelapagading.com/directory/grapari
GS Shop ,MKG-1,Lantai 1,http://images.malkelapagading.com/tenant/GSS-Shoplogo-94.jpg,https://www.malkelapagading.com/directory/gs-shop-mall-kelapagading
G-SHOCK Casio ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/G-SHOCKlogo.jpg,https://www.malkelapagading.com/directory/g-shock
Guardian ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Guardianlogo-20.jpg,https://www.malkelapagading.com/directory/guardian
Guess ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Guesslogo.jpg,https://www.malkelapagading.com/directory/guess
Guess Accessories ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Guess-Accessorieslogo1.jpg,https://www.malkelapagading.com/directory/guess-accessories
Guess Jewellery ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Guess-Jewellerylogo1.jpg,https://www.malkelapagading.com/directory/guess-jewellery
Gulu Gulu Authentic Taiwanese Cheese Tea ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Gulu-Gulu-Authentic-Taiwanese-Cheese.jpg,https://www.malkelapagading.com/directory/gulu-gulu-authentic-taiwanese-cheese-tea
Gyu-Kaku Japanese Yakiniku ,MKG-5,Lantai 3,http://images.malkelapagading.com/tenant/Gyu-Kaku-Japanese-Yakinikulogo.jpg,https://www.malkelapagading.com/directory/gyu-kaku-japanese-yakiniku
H&M ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/H-Mlogo-13.jpg,https://www.malkelapagading.com/directory/h-and-m
Haagen Dazs ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Haagen-Dazslogo-98.jpg,https://www.malkelapagading.com/directory/haagen-dazs
Hai Shien Fang ,MKG-5,Lantai 3,http://images.malkelapagading.com/tenant/Hai-Shien-Fanglogo-42.jpg,https://www.malkelapagading.com/directory/hai-shien-fang
Hakata Ikkousha ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Hakata-Ikkoushalogo.jpg,https://www.malkelapagading.com/directory/hakata-ikkousha
Happy Car`s ,MKG-5,Lantai Dasar,http://images.malkelapagading.com/tenant/Happy-Car-slogo.jpg,https://www.malkelapagading.com/directory/happy-cars
Happy Dental Clinic ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Happy-Dental-Cliniclogo-90.jpg,https://www.malkelapagading.com/directory/happy-dental-clinic
Hasami Kushi Salon ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Hasami-Kushi-Salonlogo.jpg,https://www.malkelapagading.com/directory/hasami-kushi-salon
Havaianas ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Havainaslogo.jpg,https://www.malkelapagading.com/directory/havaianas
Headquarters ,MKG-3,Basement,http://images.malkelapagading.com/tenant/Headquarterslogo.jpg,https://www.malkelapagading.com/directory/headquarters
Her Glam Nail Salon ,MKG-3,Basement,http://images.malkelapagading.com/tenant/Her-Glam-Nail-Salonlogo1.jpg,https://www.malkelapagading.com/directory/her-glam-nail-salon
Hillary Farm ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Hillary-Farmlogo.jpg,https://www.malkelapagading.com/directory/hillary-farm
Hoka-Hoka Bento ,MKG-1,Lantai 2,http://images.malkelapagading.com/tenant/Hoka-Hoka-Bentologo1.jpg,https://www.malkelapagading.com/directory/hoka-hoka-bento
Hokkaido Baked Cheese Tart ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Hokkaido-Baked-Cheese-Tartlogo.jpg,https://www.malkelapagading.com/directory/hokkaido-baked-cheese-tart
Home Made Bakery ,MKG-1,Lantai Dasar,http://images.malkelapagading.com/tenant/Home-Madelogo.jpg,https://www.malkelapagading.com/directory/home-made
Hong Kong Sheng Kee Dessert ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/Hong-Kong-Sheng-Kee-Dessertlogo.jpg,https://www.malkelapagading.com/directory/hong-kong-sheng-kee-dessert
Hong Tang ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Hong-Tanglogo1.jpg,https://www.malkelapagading.com/directory/hong-tang
HOOPS Indonesia ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/HOOPS-Indonesialogo-3.jpg,https://www.malkelapagading.com/directory/hoops
Hop Hop Bubble Drink ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinklogo-100.jpg,https://www.malkelapagading.com/directory/hop-hop-bubble-drink-8738
Hop Hop Bubble Drink ,MKG-2,Lantai 2,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinklogo-17.jpg,https://www.malkelapagading.com/directory/hop-hop-bubble-drink
Hot Star Chicken ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Hot-Star-Chickenlogo.jpg,https://www.malkelapagading.com/directory/hot-star-chicken
Hoy Tod ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Hoy-Todlogo-87.jpg,https://www.malkelapagading.com/directory/hoy-tod
HUAWEI ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/HUAWEIlogo-10.jpg,https://www.malkelapagading.com/directory/huawei
Hush Puppies ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Hush-Puppieslogo.jpg,https://www.malkelapagading.com/directory/hush-puppies
iBox ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/iBoxlogo.jpg,https://www.malkelapagading.com/directory/ibox
Ikkudo Ichi ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Ikkudo-Ichilogo1.jpg,https://www.malkelapagading.com/directory/ikkudo-ichi
IMAX Theatre ,MKG-2,Lantai 3,http://images.malkelapagading.com/tenant/IMAX-Theatrelogo.jpg,https://www.malkelapagading.com/directory/imax
Innisfree ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Innisfreelogo2.jpg,https://www.malkelapagading.com/directory/innisfree
INTime ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/INTimelogo-53.png,https://www.malkelapagading.com/directory/intime
Ippeke Komachi ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Ippeke-Komachilogo.jpg,https://www.malkelapagading.com/directory/ippeke-komachi
Irwan Team Salon ,MKG-3,Lantai 1,http://images.malkelapagading.com/tenant/Irwan-Team-Salonlogo1.jpg,https://www.malkelapagading.com/directory/irwan-team
Ixobox ,MKG-1,Lantai 1,http://images.malkelapagading.com/tenant/Ixoboxlogo2.jpg,https://www.malkelapagading.com/directory/ixobox
Jack & John Kitchen ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/Jack-John-Kitchenlogo-61.jpg,https://www.malkelapagading.com/directory/jack-and-john-kitchen
Jack Nicklaus ,MKG-2,Lantai 1,http://images.malkelapagading.com/tenant/Jack-Nicklauslogo.jpg,https://www.malkelapagading.com/directory/jack-nicklaus
Janji Jiwa Toast ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Pizza-Pezzologo1.jpg,https://www.malkelapagading.com/directory/janji-jiwa-toast
Janji Jiwa X ,Gading Walk,Lantai Dasar,http://images.malkelapagading.com/tenant/Janji-Jiwa-Xlogo-59.jpg,https://www.malkelapagading.com/directory/janji-jiwa-x
Java Kitchen ,MKG-3,Lantai 3,http://images.malkelapagading.com/tenant/Java-Kitchenlogo.jpg,https://www.malkelapagading.com/directory/java-kitchen
JBL & de`sound ,MKG-3,Lantai Dasar,http://images.malkelapagading.com/tenant/JBL-de-soundlogo-82.jpg,https://www.malkelapagading.com/directory/jbl-and-desound
JCO Donuts & Coffee ,MKG-2,Lantai Dasar,http://images.malkelapagading.com/tenant/JCO-Donutslogo.jpg,https://www.malkelapagading.com/directory/jco-donuts
